1	И	_	_	_	_	_	_	_	@pn1988m-words1#@pn1988m#00:06:10.000#00:06:10.404
2	собственно	_	_	_	_	_	_	_	@pn1988m-words1#@pn1988m#00:06:10.404#00:06:10.808
3	исследователи	_	_	_	_	_	_	_	@pn1988m-words1#@pn1988m#00:06:10.808#00:06:11.212
4	личности	_	_	_	_	_	_	_	@pn1988m-words1#@pn1988m#00:06:11.212#00:06:11.616
5	Лимонова	_	_	_	_	_	_	_	@pn1988m-words1#@pn1988m#00:06:11.616#00:06:12.020
6	как	_	_	_	_	_	_	_	@pn1988m-words1#@pn1988m#00:06:12.020#00:06:12.424
7	политического	_	_	_	_	_	_	_	@pn1988m-words1#@pn1988m#00:06:12.424#00:06:12.828
8	актора	_	_	_	_	_	_	_	@pn1988m-words1#@pn1988m#00:06:12.828#00:06:13.232
9	говорят	_	_	_	_	_	_	_	@pn1988m-words1#@pn1988m#00:06:13.232#00:06:13.636
10	/	_	_	_	_	_	_	_	@pn1988m-words1#@pn1988m#00:06:13.636#00:06:14.040
11	что	_	_	_	_	_	_	_	@pn1988m-words1#@pn1988m#00:06:14.040#00:06:14.444
12	надо	_	_	_	_	_	_	_	@pn1988m-words1#@pn1988m#00:06:14.444#00:06:14.848
13	отсчитывать	_	_	_	_	_	_	_	@pn1988m-words1#@pn1988m#00:06:14.848#00:06:15.252
14	его	_	_	_	_	_	_	_	@pn1988m-words1#@pn1988m#00:06:15.252#00:06:15.656
15	политическое	_	_	_	_	_	_	_	@pn1988m-words1#@pn1988m#00:06:15.656#00:06:16.060
16	становление	_	_	_	_	_	_	_	@pn1988m-words1#@pn1988m#00:06:16.060#00:06:16.464
17	и	_	_	_	_	_	_	_	@pn1988m-words1#@pn1988m#00:06:16.464#00:06:16.868
18	какое-то	_	_	_	_	_	_	_	@pn1988m-words1#@pn1988m#00:06:16.868#00:06:17.272
19	идеологическое	_	_	_	_	_	_	_	@pn1988m-words1#@pn1988m#00:06:17.272#00:06:17.676
20	становление	_	_	_	_	_	_	_	@pn1988m-words1#@pn1988m#00:06:17.676#00:06:18.080
21	с	_	_	_	_	_	_	_	@pn1988m-words1#@pn1988m#00:06:18.080#00:06:18.484
22	восемьдесят	_	_	_	_	_	_	_	@pn1988m-words1#@pn1988m#00:06:18.484#00:06:18.888
23	пятого	_	_	_	_	_	_	_	@pn1988m-words1#@pn1988m#00:06:18.888#00:06:19.292
24	года	_	_	_	_	_	_	_	@pn1988m-words1#@pn1988m#00:06:19.292#00:06:19.696
25	с	_	_	_	_	_	_	_	@pn1988m-words1#@pn1988m#00:06:19.696#00:06:20.100
26	Перестройки	_	_	_	_	_	_	_	@pn1988m-words1#@pn1988m#00:06:20.100#00:06:20.504
27	/	_	_	_	_	_	_	_	@pn1988m-words1#@pn1988m#00:06:20.504#00:06:20.908
28	он	_	_	_	_	_	_	_	@pn1988m-words1#@pn1988m#00:06:20.908#00:06:21.312
29	сам	_	_	_	_	_	_	_	@pn1988m-words1#@pn1988m#00:06:21.312#00:06:21.716
30	писал	_	_	_	_	_	_	_	@pn1988m-words1#@pn1988m#00:06:21.716#00:06:22.120
31	в	_	_	_	_	_	_	_	@pn1988m-words1#@pn1988m#00:06:22.120#00:06:22.524
32	/	_	_	_	_	_	_	_	@pn1988m-words1#@pn1988m#00:06:22.524#00:06:22.928
33	нескольких	_	_	_	_	_	_	_	@pn1988m-words1#@pn1988m#00:06:22.928#00:06:23.332
34	своих	_	_	_	_	_	_	_	@pn1988m-words1#@pn1988m#00:06:23.332#00:06:23.736
35	книгах	_	_	_	_	_	_	_	@pn1988m-words1#@pn1988m#00:06:23.736#00:06:24.140
36	например	_	_	_	_	_	_	_	@pn1988m-words1#@pn1988m#00:06:24.140#00:06:24.544
37	там	_	_	_	_	_	_	_	@pn1988m-words1#@pn1988m#00:06:24.544#00:06:24.948
38	Иностраенец	_	_	_	_	_	_	_	@pn1988m-words1#@pn1988m#00:06:24.948#00:06:25.352
39	в	_	_	_	_	_	_	_	@pn1988m-words1#@pn1988m#00:06:25.352#00:06:25.756
40	смутное	_	_	_	_	_	_	_	@pn1988m-words1#@pn1988m#00:06:25.756#00:06:26.160
41	время	_	_	_	_	_	_	_	@pn1988m-words1#@pn1988m#00:06:26.160#00:06:26.564
42	где	_	_	_	_	_	_	_	@pn1988m-words1#@pn1988m#00:06:26.564#00:06:26.968
